2026-07-21 12:12:44.420 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Primitives.072etlnfwu.wasm responded 200 in 1.1080 ms
2026-07-21 12:12:44.420 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Options.sbfmpxwipp.wasm responded 200 in 1.1905 ms
2026-07-21 12:12:44.420 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Logging.oc34nf9cyn.wasm responded 200 in 1.1878 ms
2026-07-21 12:12:44.435 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.JSInterop.n4v9gvxr8f.wasm responded 200 in 1.3984 ms
2026-07-21 12:12:44.441 +05:30 [INF] HTTP GET /blazor/_framework/System.cvgusyd4es.wasm responded 200 in 1.0835 ms
2026-07-21 12:12:44.441 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.NonGeneric.2eqo4m9rgn.wasm responded 200 in 0.6467 ms
2026-07-21 12:12:44.441 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.Immutable.44gfb5acbj.wasm responded 200 in 0.8371 ms
2026-07-21 12:12:44.441 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.Concurrent.77phykr4at.wasm responded 200 in 0.9528 ms
2026-07-21 12:12:44.445 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.Specialized.lb8f9a52bp.wasm responded 200 in 1.8217 ms
2026-07-21 12:12:44.467 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.zck3bxb7o1.wasm responded 200 in 1.5642 ms
2026-07-21 12:12:44.474 +05:30 [INF] HTTP GET /blazor/_framework/System.ComponentModel.Primitives.w76hqofemw.wasm responded 200 in 0.8238 ms
2026-07-21 12:12:44.474 +05:30 [INF] HTTP GET /blazor/_framework/System.ComponentModel.Annotations.boq88iozmf.wasm responded 200 in 1.2642 ms
2026-07-21 12:12:44.474 +05:30 [INF] HTTP GET /blazor/_framework/System.ComponentModel.j8t4mlscoa.wasm responded 200 in 0.7508 ms
2026-07-21 12:12:44.474 +05:30 [INF] HTTP GET /blazor/_framework/System.ComponentModel.TypeConverter.1b526pm9er.wasm responded 200 in 1.0597 ms
2026-07-21 12:12:44.474 +05:30 [INF] HTTP GET /blazor/_framework/System.Console.lsjpvcu2bc.wasm responded 200 in 1.0019 ms
2026-07-21 12:12:44.538 +05:30 [INF] HTTP GET /blazor/_framework/System.Diagnostics.DiagnosticSource.1vtrwwltdl.wasm responded 200 in 1.5062 ms
2026-07-21 12:12:44.545 +05:30 [INF] HTTP GET /blazor/_framework/System.IO.Pipelines.uznrqn6wwr.wasm responded 200 in 1.8433 ms
2026-07-21 12:12:44.545 +05:30 [INF] HTTP GET /blazor/_framework/System.Linq.9acgbvbguy.wasm responded 200 in 1.1921 ms
2026-07-21 12:12:44.545 +05:30 [INF] HTTP GET /blazor/_framework/System.Memory.dmchb5mcb4.wasm responded 200 in 0.8984 ms
2026-07-21 12:12:44.547 +05:30 [INF] HTTP GET /blazor/_framework/System.Linq.Expressions.rfryxgikk4.wasm responded 200 in 2.6709 ms
2026-07-21 12:12:44.551 +05:30 [INF] HTTP GET /blazor/_framework/System.Net.Http.Json.0pe15ioa3d.wasm responded 200 in 1.8415 ms
2026-07-21 12:12:44.565 +05:30 [INF] HTTP GET /blazor/_framework/System.Net.Http.0fdnycze5k.wasm responded 200 in 2.4700 ms
2026-07-21 12:12:44.572 +05:30 [INF] HTTP GET /blazor/_framework/System.Net.Primitives.lomeqtjib9.wasm responded 200 in 1.2920 ms
2026-07-21 12:12:44.572 +05:30 [INF] HTTP GET /blazor/_framework/System.Runtime.Serialization.Primitives.mdgerqqoz0.wasm responded 200 in 0.8503 ms
2026-07-21 12:12:44.572 +05:30 [INF] HTTP GET /blazor/_framework/System.Private.Uri.i8mqnwuuk1.wasm responded 200 in 1.3328 ms
2026-07-21 12:12:44.572 +05:30 [INF] HTTP GET /blazor/_framework/System.ObjectModel.71xt2g2ecm.wasm responded 200 in 1.3719 ms
2026-07-21 12:12:44.588 +05:30 [INF] HTTP GET /blazor/_framework/System.Runtime.rusd5p4ddi.wasm responded 200 in 1.4669 ms
2026-07-21 12:12:44.589 +05:30 [INF] HTTP GET /blazor/_framework/System.Text.Encodings.Web.9u1rhssy5s.wasm responded 200 in 0.7509 ms
2026-07-21 12:12:44.589 +05:30 [INF] HTTP GET /blazor/_framework/System.Text.RegularExpressions.u6eavgzi6w.wasm responded 200 in 0.6123 ms
2026-07-21 12:12:44.589 +05:30 [INF] HTTP GET /blazor/_framework/System.Security.Claims.m1jxgkx449.wasm responded 200 in 0.9396 ms
2026-07-21 12:12:44.589 +05:30 [INF] HTTP GET /blazor/_framework/System.Security.Cryptography.2zkzja4hey.wasm responded 200 in 0.9068 ms
2026-07-21 12:12:44.614 +05:30 [INF] HTTP GET /blazor/_framework/System.Text.Json.nbcixh40hj.wasm responded 200 in 25.8563 ms
2026-07-21 12:12:44.617 +05:30 [INF] HTTP GET /blazor/_framework/icudt_EFIGS.tptq2av103.dat responded 200 in 2.9965 ms
2026-07-21 12:13:08.372 +05:30 [INF] HTTP GET /angular responded 200 in 2.2937 ms
2026-07-21 12:13:08.394 +05:30 [INF] HTTP GET /angular/main-R2VRMAV4.js responded 304 in 2.0375 ms
2026-07-21 12:13:08.397 +05:30 [INF] HTTP GET /angular/styles-JG7EAGFK.css responded 304 in 1.0378 ms
2026-07-21 12:13:21.724 +05:30 [INF] HTTP POST /api/auth/login responded 200 in 150.0604 ms
2026-07-21 12:13:21.745 +05:30 [INF] HTTP GET /api/employees responded 200 in 13.8763 ms
